# ells, tt, te, ee, bb
0.000000000000000000e+00 5.607986281386170395e-07 0.000000000000000000e+00 1.121597256277234079e-06 1.121597256277234079e-06
1.000000000000000000e+00 5.607986582450224860e-07 0.000000000000000000e+00 1.121597316490045395e-06 1.121597316490045395e-06
2.000000000000000000e+00 5.607987485642471898e-07 0.000000000000000000e+00 1.121597497128494591e-06 1.121597497128494591e-06
3.000000000000000000e+00 5.607988990963152913e-07 0.000000000000000000e+00 1.121597798192630794e-06 1.121597798192630794e-06
4.000000000000000000e+00 5.607991098412668130e-07 0.000000000000000000e+00 1.121598219682534473e-06 1.121598219682534473e-06
5.000000000000000000e+00 5.607993807991591413e-07 0.000000000000000000e+00 1.121598761598318706e-06 1.121598761598318706e-06
6.000000000000000000e+00 5.607997119700645916e-07 0.000000000000000000e+00 1.121599423940129395e-06 1.121599423940129395e-06
7.000000000000000000e+00 5.608001033540718906e-07 0.000000000000000000e+00 1.121600206708143993e-06 1.121600206708143993e-06
8.000000000000000000e+00 5.608005549512864939e-07 0.000000000000000000e+00 1.121601109902573411e-06 1.121601109902573411e-06
9.000000000000000000e+00 5.608010667618295272e-07 0.000000000000000000e+00 1.121602133523659054e-06 1.121602133523659054e-06
1.000000000000000000e+01 5.608016387858383158e-07 0.000000000000000000e+00 1.121603277571677267e-06 1.121603277571677267e-06
1.100000000000000000e+01 5.608022710234663844e-07 0.000000000000000000e+00 1.121604542046933616e-06 1.121604542046933616e-06
1.200000000000000000e+01 5.608029634748839866e-07 0.000000000000000000e+00 1.121605926949768185e-06 1.121605926949768185e-06
1.300000000000000000e+01 5.608037161402766225e-07 0.000000000000000000e+00 1.121607432280553245e-06 1.121607432280553245e-06
1.400000000000000000e+01 5.608045290198462038e-07 0.000000000000000000e+00 1.121609058039692619e-06 1.121609058039692619e-06
1.500000000000000000e+01 5.608054021138114766e-07 0.000000000000000000e+00 1.121610804227623377e-06 1.121610804227623377e-06
1.600000000000000000e+01 5.608063354224067514e-07 0.000000000000000000e+00 1.121612670844813715e-06 1.121612670844813715e-06
1.700000000000000000e+01 5.608073289458822206e-07 0.000000000000000000e+00 1.121614657891764865e-06 1.121614657891764865e-06
1.800000000000000000e+01 5.608083826845052290e-07 0.000000000000000000e+00 1.121616765369010882e-06 1.121616765369010882e-06
1.900000000000000000e+01 5.608094966385584738e-07 0.000000000000000000e+00 1.121618993277117159e-06 1.121618993277117159e-06
2.000000000000000000e+01 5.608106708083409576e-07 0.000000000000000000e+00 1.121621341616682127e-06 1.121621341616682127e-06
2.100000000000000000e+01 5.608119051941682003e-07 0.000000000000000000e+00 1.121623810388336824e-06 1.121623810388336824e-06
2.200000000000000000e+01 5.608131997963713916e-07 0.000000000000000000e+00 1.121626399592742995e-06 1.121626399592742995e-06
2.300000000000000000e+01 5.608145546152982387e-07 0.000000000000000000e+00 1.121629109230597113e-06 1.121629109230597113e-06
2.400000000000000000e+01 5.608159696513124362e-07 0.000000000000000000e+00 1.121631939302625720e-06 1.121631939302625720e-06
2.500000000000000000e+01 5.608174449047944080e-07 0.000000000000000000e+00 1.121634889809589239e-06 1.121634889809589239e-06
2.600000000000000000e+01 5.608189803761397182e-07 0.000000000000000000e+00 1.121637960752279225e-06 1.121637960752279225e-06
2.700000000000000000e+01 5.608205760657609780e-07 0.000000000000000000e+00 1.121641152131521956e-06 1.121641152131521956e-06
2.800000000000000000e+01 5.608222319740862565e-07 0.000000000000000000e+00 1.121644463948172936e-06 1.121644463948172936e-06
2.900000000000000000e+01 5.608239481015605637e-07 0.000000000000000000e+00 1.121647896203121551e-06 1.121647896203121551e-06
3.000000000000000000e+01 5.608257244486446855e-07 0.000000000000000000e+00 1.121651448897289371e-06 1.121651448897289371e-06
3.100000000000000000e+01 5.608275610158153956e-07 0.000000000000000000e+00 1.121655122031630579e-06 1.121655122031630579e-06
3.200000000000000000e+01 5.608294578035657730e-07 0.000000000000000000e+00 1.121658915607131758e-06 1.121658915607131758e-06
3.300000000000000000e+01 5.608314148124054139e-07 0.000000000000000000e+00 1.121662829624810828e-06 1.121662829624810828e-06
3.400000000000000000e+01 5.608334320428595847e-07 0.000000000000000000e+00 1.121666864085719593e-06 1.121666864085719593e-06
3.500000000000000000e+01 5.608355094954701746e-07 0.000000000000000000e+00 1.121671018990940773e-06 1.121671018990940773e-06
3.600000000000000000e+01 5.608376471707949549e-07 0.000000000000000000e+00 1.121675294341589486e-06 1.121675294341589486e-06
3.700000000000000000e+01 5.608398450694073669e-07 0.000000000000000000e+00 1.121679690138815157e-06 1.121679690138815157e-06
3.800000000000000000e+01 5.608421031918982160e-07 0.000000000000000000e+00 1.121684206383797279e-06 1.121684206383797279e-06
3.900000000000000000e+01 5.608444215388737661e-07 0.000000000000000000e+00 1.121688843077747532e-06 1.121688843077747532e-06
4.000000000000000000e+01 5.608468001109562688e-07 0.000000000000000000e+00 1.121693600221912961e-06 1.121693600221912961e-06
4.100000000000000000e+01 5.608492389087845986e-07 0.000000000000000000e+00 1.121698477817569409e-06 1.121698477817569409e-06
4.200000000000000000e+01 5.608517379330135120e-07 0.000000000000000000e+00 1.121703475866027448e-06 1.121703475866027448e-06
4.300000000000000000e+01 5.608542971843138592e-07 0.000000000000000000e+00 1.121708594368628142e-06 1.121708594368628142e-06
4.400000000000000000e+01 5.608569166633732191e-07 0.000000000000000000e+00 1.121713833326747073e-06 1.121713833326747073e-06
4.500000000000000000e+01 5.608595963708949467e-07 0.000000000000000000e+00 1.121719192741789893e-06 1.121719192741789893e-06
4.600000000000000000e+01 5.608623363075980670e-07 0.000000000000000000e+00 1.121724672615196558e-06 1.121724672615196558e-06
4.700000000000000000e+01 5.608651364742185459e-07 0.000000000000000000e+00 1.121730272948437515e-06 1.121730272948437515e-06
