# ells, tt, te, ee, bb
0.000000000000000000e+00 2.348279814284952016e-08 0.000000000000000000e+00 4.696559628569903371e-08 1.121597256277234079e-06
1.000000000000000000e+00 2.348279818836126878e-08 0.000000000000000000e+00 4.696559637672253756e-08 1.121597316490045395e-06
2.000000000000000000e+00 2.348279832489654772e-08 0.000000000000000000e+00 4.696559664979310868e-08 1.121597497128494591e-06
3.000000000000000000e+00 2.348279855245536030e-08 0.000000000000000000e+00 4.696559710491072721e-08 1.121597798192630794e-06
4.000000000000000000e+00 2.348279887103768996e-08 0.000000000000000000e+00 4.696559774207537991e-08 1.121598219682534473e-06
5.000000000000000000e+00 2.348279928064355987e-08 0.000000000000000000e+00 4.696559856128711973e-08 1.121598761598318706e-06
6.000000000000000000e+00 2.348279978127294686e-08 0.000000000000000000e+00 4.696559956254590696e-08 1.121599423940129395e-06
7.000000000000000000e+00 2.348280037292587742e-08 0.000000000000000000e+00 4.696560074585178131e-08 1.121600206708143993e-06
8.000000000000000000e+00 2.348280105560235153e-08 0.000000000000000000e+00 4.696560211120471630e-08 1.121601109902573411e-06
9.000000000000000000e+00 2.348280182930237582e-08 0.000000000000000000e+00 4.696560365860475165e-08 1.121602133523659054e-06
1.000000000000000000e+01 2.348280269402595691e-08 0.000000000000000000e+00 4.696560538805191381e-08 1.121603277571677267e-06
1.100000000000000000e+01 2.348280364977310140e-08 0.000000000000000000e+00 4.696560729954620280e-08 1.121604542046933616e-06
1.200000000000000000e+01 2.348280469654382254e-08 0.000000000000000000e+00 4.696560939308764507e-08 1.121605926949768185e-06
1.300000000000000000e+01 2.348280583433811701e-08 0.000000000000000000e+00 4.696561166867625387e-08 1.121607432280553245e-06
1.400000000000000000e+01 2.348280706315601129e-08 0.000000000000000000e+00 4.696561412631204243e-08 1.121609058039692619e-06
1.500000000000000000e+01 2.348280838299750869e-08 0.000000000000000000e+00 4.696561676599504384e-08 1.121610804227623377e-06
1.600000000000000000e+01 2.348280979386262905e-08 0.000000000000000000e+00 4.696561958772525810e-08 1.121612670844813715e-06
1.700000000000000000e+01 2.348281129575137238e-08 0.000000000000000000e+00 4.696562259150276461e-08 1.121614657891764865e-06
1.800000000000000000e+01 2.348281288866377176e-08 0.000000000000000000e+00 4.696562577732754353e-08 1.121616765369010882e-06
1.900000000000000000e+01 2.348281457259983051e-08 0.000000000000000000e+00 4.696562914519964779e-08 1.121618993277117159e-06
2.000000000000000000e+01 2.348281634755954862e-08 0.000000000000000000e+00 4.696563269511910386e-08 1.121621341616682127e-06
