# ells, tt, te, ee, bb
0.000000000000000000e+00 1.692318998815047469e-07 0.000000000000000000e+00 3.384637997630095996e-07 3.384637997630095996e-07
1.000000000000000000e+00 1.692319086615739982e-07 0.000000000000000000e+00 3.384638173231481023e-07 3.384638173231481023e-07
2.000000000000000000e+00 1.692319350017841347e-07 0.000000000000000000e+00 3.384638700035683752e-07 3.384638700035683752e-07
3.000000000000000000e+00 1.692319789021417206e-07 0.000000000000000000e+00 3.384639578042836530e-07 3.384639578042836530e-07
4.000000000000000000e+00 1.692320403626580852e-07 0.000000000000000000e+00 3.384640807253161705e-07 3.384640807253161705e-07
5.000000000000000000e+00 1.692321193833489515e-07 0.000000000000000000e+00 3.384642387666979559e-07 3.384642387666979559e-07
6.000000000000000000e+00 1.692322159642342776e-07 0.000000000000000000e+00 3.384644319284686611e-07 3.384644319284686611e-07
7.000000000000000000e+00 1.692323301053390511e-07 0.000000000000000000e+00 3.384646602106782081e-07 3.384646602106782081e-07
8.000000000000000000e+00 1.692324618066922828e-07 0.000000000000000000e+00 3.384649236133845656e-07 3.384649236133845656e-07
9.000000000000000000e+00 1.692326110683275364e-07 0.000000000000000000e+00 3.384652221366551258e-07 3.384652221366551258e-07
1.000000000000000000e+01 1.692327778902830872e-07 0.000000000000000000e+00 3.384655557805663333e-07 3.384655557805663333e-07
1.100000000000000000e+01 1.692329622726015252e-07 0.000000000000000000e+00 3.384659245452031033e-07 3.384659245452031033e-07
1.200000000000000000e+01 1.692331642153297811e-07 0.000000000000000000e+00 3.384663284306596680e-07 3.384663284306596680e-07
1.300000000000000000e+01 1.692333837185196828e-07 0.000000000000000000e+00 3.384667674370394186e-07 3.384667674370394186e-07
1.400000000000000000e+01 1.692336207822271875e-07 0.000000000000000000e+00 3.384672415644544280e-07 3.384672415644544280e-07
1.500000000000000000e+01 1.692338754065128316e-07 0.000000000000000000e+00 3.384677508130257690e-07 3.384677508130257690e-07
1.600000000000000000e+01 1.692341475914417306e-07 0.000000000000000000e+00 3.384682951828834612e-07 3.384682951828834612e-07
1.700000000000000000e+01 1.692344373370832619e-07 0.000000000000000000e+00 3.384688746741666826e-07 3.384688746741666826e-07
1.800000000000000000e+01 1.692347446435117261e-07 0.000000000000000000e+00 3.384694892870233994e-07 3.384694892870233994e-07
1.900000000000000000e+01 1.692350695108052886e-07 0.000000000000000000e+00 3.384701390216106831e-07 3.384701390216106831e-07
2.000000000000000000e+01 1.692354119390471703e-07 0.000000000000000000e+00 3.384708238780944465e-07 3.384708238780944465e-07
2.100000000000000000e+01 1.692357719283248009e-07 0.000000000000000000e+00 3.384715438566497605e-07 3.384715438566497605e-07
2.200000000000000000e+01 1.692361494787300569e-07 0.000000000000000000e+00 3.384722989574601667e-07 3.384722989574601667e-07
2.300000000000000000e+01 1.692365445903595267e-07 0.000000000000000000e+00 3.384730891807190533e-07 3.384730891807190533e-07
2.400000000000000000e+01 1.692369572633139806e-07 0.000000000000000000e+00 3.384739145266280670e-07 3.384739145266280670e-07
2.500000000000000000e+01 1.692373874976989272e-07 0.000000000000000000e+00 3.384747749953979603e-07 3.384747749953979603e-07
2.600000000000000000e+01 1.692378352936243485e-07 0.000000000000000000e+00 3.384756705872487499e-07 3.384756705872487499e-07
2.700000000000000000e+01 1.692383006512044350e-07 0.000000000000000000e+00 3.384766013024089230e-07 3.384766013024089230e-07
2.800000000000000000e+01 1.692387835705582479e-07 0.000000000000000000e+00 3.384775671411166017e-07 3.384775671411166017e-07
2.900000000000000000e+01 1.692392840518090569e-07 0.000000000000000000e+00 3.384785681036181667e-07 3.384785681036181667e-07
