# ells, tt, te, ee, bb
0.000000000000000000e+00 1.540662938332391766e-06 0.000000000000000000e+00 3.081325876664782685e-06 3.081325876664782685e-06
1.000000000000000000e+00 1.540663021057945028e-06 0.000000000000000000e+00 3.081326042115890902e-06 3.081326042115890902e-06
2.000000000000000000e+00 1.540663269234627683e-06 0.000000000000000000e+00 3.081326538469254942e-06 3.081326538469254942e-06
3.000000000000000000e+00 1.540663682862506223e-06 0.000000000000000000e+00 3.081327365725013293e-06 3.081327365725013293e-06
4.000000000000000000e+00 1.540664261941690763e-06 0.000000000000000000e+00 3.081328523883383221e-06 3.081328523883383221e-06
5.000000000000000000e+00 1.540665006472338428e-06 0.000000000000000000e+00 3.081330012944677702e-06 3.081330012944677702e-06
6.000000000000000000e+00 1.540665916454648693e-06 0.000000000000000000e+00 3.081331832909298233e-06 3.081331832909298233e-06
7.000000000000000000e+00 1.540666991888865080e-06 0.000000000000000000e+00 3.081333983777730161e-06 3.081333983777730161e-06
8.000000000000000000e+00 1.540668232775277276e-06 0.000000000000000000e+00 3.081336465550557093e-06 3.081336465550557093e-06
9.000000000000000000e+00 1.540669639114218798e-06 0.000000000000000000e+00 3.081339278228438020e-06 3.081339278228438020e-06
1.000000000000000000e+01 1.540671210906067213e-06 0.000000000000000000e+00 3.081342421812133578e-06 3.081342421812133578e-06
1.100000000000000000e+01 1.540672948151243283e-06 0.000000000000000000e+00 3.081345896302487412e-06 3.081345896302487412e-06
1.200000000000000000e+01 1.540674850850215629e-06 0.000000000000000000e+00 3.081349701700432106e-06 3.081349701700432106e-06
1.300000000000000000e+01 1.540676919003493743e-06 0.000000000000000000e+00 3.081353838006987485e-06 3.081353838006987485e-06
1.400000000000000000e+01 1.540679152611634124e-06 0.000000000000000000e+00 3.081358305223269094e-06 3.081358305223269094e-06
1.500000000000000000e+01 1.540681551675236048e-06 0.000000000000000000e+00 3.081363103350472943e-06 3.081363103350472943e-06
1.600000000000000000e+01 1.540684116194944531e-06 0.000000000000000000e+00 3.081368232389888216e-06 3.081368232389888216e-06
1.700000000000000000e+01 1.540686846171446941e-06 0.000000000000000000e+00 3.081373692342895576e-06 3.081373692342895576e-06
1.800000000000000000e+01 1.540689741605478713e-06 0.000000000000000000e+00 3.081379483210957849e-06 3.081379483210957849e-06
1.900000000000000000e+01 1.540692802497815518e-06 0.000000000000000000e+00 3.081385604995632306e-06 3.081385604995632306e-06
2.000000000000000000e+01 1.540696028849280460e-06 0.000000000000000000e+00 3.081392057698562190e-06 3.081392057698562190e-06
2.100000000000000000e+01 1.540699420660740265e-06 0.000000000000000000e+00 3.081398841321479684e-06 3.081398841321479684e-06
2.200000000000000000e+01 1.540702977933104648e-06 0.000000000000000000e+00 3.081405955866210144e-06 3.081405955866210144e-06
2.300000000000000000e+01 1.540706700667330332e-06 0.000000000000000000e+00 3.081413401334660240e-06 3.081413401334660240e-06
2.400000000000000000e+01 1.540710588864416815e-06 0.000000000000000000e+00 3.081421177728833630e-06 3.081421177728833630e-06
2.500000000000000000e+01 1.540714642525408066e-06 0.000000000000000000e+00 3.081429285050816133e-06 3.081429285050816133e-06
2.600000000000000000e+01 1.540718861651393369e-06 0.000000000000000000e+00 3.081437723302787586e-06 3.081437723302787586e-06
2.700000000000000000e+01 1.540723246243505208e-06 0.000000000000000000e+00 3.081446492487010839e-06 3.081446492487010839e-06
