# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063614037456773e+03 2.760359813660159922e+00 3.255477831742989436e-02 1.599345010983483591e-07 7.900311832652928276e-08
3.000000000000000000e+00 5.066490157595159189e+02 1.547946876315492437e+00 2.093024862624549148e-02 1.600050727527382010e-07 9.606875114020149715e-08
4.000000000000000000e+00 2.877397138983081959e+02 8.714381736355836239e-01 1.092218009605469380e-02 1.600985645991897203e-07 1.106505707438895380e-07
5.000000000000000000e+00 1.836917367353594273e+02 4.949601705329734203e-01 4.878304028383525538e-03 1.602144646658563025e-07 1.232951806201376074e-07
6.000000000000000000e+00 1.272299775254641361e+02 2.850935068934261074e-01 1.954483511712355997e-03 1.603521397960197330e-07 1.343263406281542839e-07
7.000000000000000000e+00 9.364841508606988896e+01 1.681831376769408748e-01 7.910643811756086149e-04 1.605108400172629309e-07 1.440349705535775383e-07
8.000000000000000000e+00 7.189659615800782433e+01 1.031476746090262409e-01 3.943589388293579313e-04 1.606897040442869885e-07 1.526250526302424168e-07
9.000000000000000000e+00 5.719032347046361053e+01 6.773594374819653929e-02 2.519500175391805826e-04 1.608877650461717385e-07 1.602690413842776795e-07
1.000000000000000000e+01 4.676076734228961129e+01 4.861777547931533244e-02 1.754791156025744202e-04 1.611039575033682688e-07 1.670755919873544952e-07
1.100000000000000000e+01 3.908616258463796811e+01 3.839627096117734922e-02 1.228778080810181386e-04 1.613371247249723336e-07 1.731926713087308092e-07
1.200000000000000000e+01 3.321572302950662703e+01 3.279214565720110774e-02 9.057338934415972451e-05 1.615860267907224254e-07 1.786263862639496788e-07
1.300000000000000000e+01 2.871866385296835489e+01 2.947885611455650090e-02 7.444735446017315488e-05 1.618493492683506564e-07 1.835379572040480284e-07
1.400000000000000000e+01 2.511932897287006128e+01 2.718102179660404627e-02 6.706942856980840321e-05 1.621257121932335662e-07 1.879108615259896656e-07
