# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070066785008118813e+03 2.760359790813117886e+00 3.255652822880507336e-02 1.909846104609996145e-06 7.900311832652928276e-08
3.000000000000000000e+00 5.066521841378017825e+02 1.547946825320095421e+00 2.093199872558370450e-02 1.910105551983234208e-06 9.606875114020149715e-08
4.000000000000000000e+00 2.877428788292788795e+02 8.714380855213832433e-01 1.092393044415690406e-02 1.910450087327976301e-06 1.106505707438895380e-07
5.000000000000000000e+00 1.836948973718951095e+02 4.949600363409896731e-01 4.880054684470030990e-03 1.910878524971025668e-06 1.232951806201376074e-07
6.000000000000000000e+00 1.272331330301502987e+02 2.850933178021812786e-01 1.956234533037349340e-03 1.911389394888253266e-06 1.343263406281542839e-07
7.000000000000000000e+00 9.365156463303772227e+01 1.681828850529406838e-01 7.928158226494376026e-04 1.911980949302466042e-06 1.440349705535775383e-07
8.000000000000000000e+00 7.189973893472169664e+01 1.031473500434737234e-01 3.961108526453718153e-04 1.912651175389454253e-06 1.526250526302424168e-07
9.000000000000000000e+00 5.719345867944621631e+01 6.773553908936018331e-02 2.537024528131635566e-04 1.913397802090096395e-06 1.602690413842776795e-07
1.000000000000000000e+01 4.676389420277779863e+01 4.861728286274615007e-02 1.772321180213157156e-04 1.914218313242454359e-06 1.670755919873544952e-07
1.100000000000000000e+01 3.908928033416149361e+01 3.839568283838847018e-02 1.246314195609240279e-04 1.915109962182037143e-06 1.731926713087308092e-07
1.200000000000000000e+01 3.321883092538302407e+01 3.279145482297636527e-02 9.232764770387368828e-05 1.916069784440798740e-06 1.786263862639496788e-07
1.300000000000000000e+01 2.872176117370749537e+01 2.947805573290620748e-02 7.620229310506979677e-05 1.917094614918588151e-06 1.835379572040480284e-07
1.400000000000000000e+01 2.512241501948240696e+01 2.718010542533334101e-02 6.882507619247155454e-05 1.918181102682730117e-06 1.879108615259896656e-07
