# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063312024606830e+03 2.760359817415155348e+00 3.255461838282701359e-02 0.000000000000000000e+00 7.895919232932432621e-08
3.000000000000000000e+00 5.066487150690003887e+02 1.547946884702957826e+00 2.093008862066503273e-02 0.000000000000000000e+00 9.601147088642104755e-08
4.000000000000000000e+00 2.877394149612872525e+02 8.714381881423768350e-01 1.092201999597181006e-02 0.000000000000000000e+00 1.105785114511723111e-07
5.000000000000000000e+00 1.836914399745133153e+02 4.949601926529201834e-01 4.878143810390363905e-03 0.000000000000000000e+00 1.232084233990929930e-07
6.000000000000000000e+00 1.272296833527152984e+02 2.850935381087140175e-01 1.954323152549467847e-03 0.000000000000000000e+00 1.342257484302093436e-07
7.000000000000000000e+00 9.364812390210973092e+01 1.681831794518107714e-01 7.909038577647638669e-04 0.000000000000000000e+00 1.439213539032029764e-07
8.000000000000000000e+00 7.189630834876008691e+01 1.031477283856721688e-01 3.941982283082497021e-04 0.000000000000000000e+00 1.524990756370129034e-07
9.000000000000000000e+00 5.719003940620878268e+01 6.773601094323961069e-02 2.517890972977520877e-04 0.000000000000000000e+00 1.601313440377784869e-07
1.000000000000000000e+01 4.676048737584155646e+01 4.861785748051752204e-02 1.753179633215179076e-04 0.000000000000000000e+00 1.669269064932755921e-07
1.100000000000000000e+01 3.908588704976540384e+01 3.839636912427425719e-02 1.227164017726126654e-04 0.000000000000000000e+00 1.730336851738234775e-07
1.200000000000000000e+01 3.321545223967562066e+01 3.279226130281017587e-02 9.041170739537815384e-05 0.000000000000000000e+00 1.784578116905558905e-07
1.300000000000000000e+01 2.871839810667332671e+01 2.947899052506762832e-02 7.428537567839313632e-05 0.000000000000000000e+00 1.833604052619402361e-07
1.400000000000000000e+01 2.511906852673021007e+01 2.718117621352555274e-02 6.690713223095566531e-05 0.000000000000000000e+00 1.877250204101409647e-07
