# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070066782149566052e+03 2.760359792070981033e+00 3.255653132258306409e-02 1.912939946572032893e-06 7.895919240267681034e-08
3.000000000000000000e+00 5.066521813254970539e+02 1.547946826405320664e+00 2.093200181932478379e-02 1.913199327384552905e-06 9.601147003674683981e-08
4.000000000000000000e+00 2.877428760874121281e+02 8.714380858772010630e-01 1.092393353784032808e-02 1.913543777399645243e-06 1.105785093703325514e-07
5.000000000000000000e+00 1.836948946780485414e+02 4.949600363041894435e-01 4.880057778026919944e-03 1.913972113745411619e-06 1.232084241692354127e-07
6.000000000000000000e+00 1.272331303652370593e+02 2.850933181325177035e-01 1.956237626441843271e-03 1.914482869922695071e-06 1.342257521349085264e-07
7.000000000000000000e+00 9.365156201193155994e+01 1.681828860071822307e-01 7.928189158708964139e-04 1.915074304699022891e-06 1.439213594550910965e-07
8.000000000000000000e+00 7.189973638571565573e+01 1.031473512285408095e-01 3.961139456290158132e-04 1.915744406084080801e-06 1.524990848452683740e-07
9.000000000000000000e+00 5.719345621425192405e+01 6.773554013184826528e-02 2.537055455245220510e-04 1.916490907987309583e-06 1.601313611500611301e-07
1.000000000000000000e+01 4.676389181626952052e+01 4.861728386754923109e-02 1.772352104420418101e-04 1.917311300494980814e-06 1.669269342990236162e-07
1.100000000000000000e+01 3.908927802216009439e+01 3.839568417259888594e-02 1.246345116535478310e-04 1.918202842811694783e-06 1.730337269863035585e-07
1.200000000000000000e+01 3.321882869695110685e+01 3.279145659746773162e-02 9.233073941453629147e-05 1.919162577233088080e-06 1.784578739502868308e-07
1.300000000000000000e+01 2.872175912614343218e+01 2.947805776813889472e-02 7.620538438706820218e-05 1.920187343332850266e-06 1.833604385582817939e-07
1.400000000000000000e+01 2.512241297226259817e+01 2.718010756324111196e-02 6.882816700304920595e-05 1.921273796402732777e-06 1.877250638921556749e-07
