# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063632185119559e+03 2.760359813546758190e+00 3.255484433494319763e-02 2.259520177763596873e-07 7.895919231624067150e-08
3.000000000000000000e+00 5.066490338970229459e+02 1.547946876062452626e+00 2.093031464389750324e-02 2.260227415524985201e-07 9.601146930826731053e-08
4.000000000000000000e+00 2.877397320273367427e+02 8.714381731986544644e-01 1.092224611387606834e-02 2.261164363712756947e-07 1.105785075131990503e-07
5.000000000000000000e+00 1.836917548499061752e+02 4.949601698685254791e-01 4.878370046391881584e-03 2.262325903760544448e-07 1.232084226820185109e-07
6.000000000000000000e+00 1.272299956130672882e+02 2.850935059587290654e-01 1.954549529908873595e-03 2.263705704828088969e-07 1.342257500319420823e-07
7.000000000000000000e+00 9.364843314682894970e+01 1.681831364307004029e-01 7.911303995417444390e-04 2.265296270740361334e-07 1.439213546373834477e-07
8.000000000000000000e+00 7.189661419017340904e+01 1.031476730115839235e-01 3.944249573243599656e-04 2.267088986320802540e-07 1.524990754789915221e-07
9.000000000000000000e+00 5.719034147055907624e+01 6.773594176172857695e-02 2.520160360965720010e-04 2.269074186295539715e-07 1.601313457526012414e-07
1.000000000000000000e+01 4.676078530403948008e+01 4.861777306815198707e-02 1.755451341275085931e-04 2.271241216093079145e-07 1.669269091886447299e-07
1.100000000000000000e+01 3.908618050500034258e+01 3.839626809187067502e-02 1.229438264475593188e-04 2.273578508777071356e-07 1.730336868846181139e-07
1.200000000000000000e+01 3.321574090585075112e+01 3.279214229881552423e-02 9.063940739266846617e-05 2.276073664504520539e-07 1.784578128221610972e-07
1.300000000000000000e+01 2.871868172075863157e+01 2.947885223861667833e-02 7.451337199481506118e-05 2.278713537682891641e-07 1.833604083449870364e-07
1.400000000000000000e+01 2.511934672160548843e+01 2.718101737822821787e-02 6.713544535621239853e-05 2.281484326453535733e-07 1.877250251609708360e-07
