# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063705136097724e+03 2.760359813199413814e+00 3.255503538828917465e-02 4.170053727424301953e-07 7.895919230456280031e-08
3.000000000000000000e+00 5.066491068148403656e+02 1.547946875287811830e+00 2.093050569781566492e-02 4.170767047259504160e-07 9.601147142046072271e-08
4.000000000000000000e+00 2.877398048843073752e+02 8.714381718617791872e-01 1.092243716851191634e-02 4.171712070014857556e-07 1.105785127544743653e-07
5.000000000000000000e+00 1.836918276370980152e+02 4.949601678349311862e-01 4.878561101852182946e-03 4.172883647048122452e-07 1.232084236841032479e-07
6.000000000000000000e+00 1.272300683287185734e+02 2.850935030972925333e-01 1.954740586252443242e-03 4.174275410753640947e-07 1.342257479409763481e-07
7.000000000000000000e+00 9.364850577358544115e+01 1.681831326142482486e-01 7.913214567704287671e-04 4.175879818702720413e-07 1.439213536652499546e-07
8.000000000000000000e+00 7.189668671398315780e+01 1.031476681177199706e-01 3.946160153737933614e-04 4.177688205041229570e-07 1.524990757846162560e-07
9.000000000000000000e+00 5.719041387814099409e+01 6.773593567352290123e-02 2.522070948277426155e-04 4.179690844462901082e-07 1.601313436195188056e-07
1.000000000000000000e+01 4.676085758666536663e+01 4.861776567464054510e-02 1.757361933184943634e-04 4.181877014059151682e-07 1.669269059625069332e-07
1.100000000000000000e+01 3.908625264929185761e+01 3.839625928880721628e-02 1.231348857853324023e-04 4.184235073112699705e-07 1.730336850622691060e-07
1.200000000000000000e+01 3.321581289876773724e+01 3.279213198910039401e-02 9.083046646550653024e-05 4.186752540170134278e-07 1.784578120395984481e-07
1.300000000000000000e+01 2.871875356446456706e+01 2.947884033244167062e-02 7.470443028520677904e-05 4.189416179402398247e-07 1.833604054211461666e-07
1.400000000000000000e+01 2.511941841505375805e+01 2.718100379515669962e-02 6.732650223391604819e-05 4.192212092505412378e-07 1.877250203416208697e-07
