# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070064008936149094e+03 2.760359811930696683e+00 3.255549965327080020e-02 8.812703830159170881e-07 7.895919230456280031e-08
3.000000000000000000e+00 5.066494104557137348e+02 1.547946872457673706e+00 2.093096997167144535e-02 8.813507036022024644e-07 9.601147142046072271e-08
4.000000000000000000e+00 2.877401083133037218e+02 8.714381669755102422e-01 1.092290145404633400e-02 8.814571702494388259e-07 1.105785127544743653e-07
5.000000000000000000e+00 1.836921308018250159e+02 4.949601604008864730e-01 4.879025401738882987e-03 8.815892506305553877e-07 1.232084236841032479e-07
6.000000000000000000e+00 1.272303711771650825e+02 2.850934926344790288e-01 1.955204903002428357e-03 8.817462862532724250e-07 1.342257479409763481e-07
7.000000000000000000e+00 9.364880825419396615e+01 1.681831186556971558e-01 7.917857927009047366e-04 8.819274969158122136e-07 1.439213536652499546e-07
8.000000000000000000e+00 7.189698877572065783e+01 1.031476502130774658e-01 3.950803725778650089e-04 8.821319857932824327e-07 1.524990757846162560e-07
9.000000000000000000e+00 5.719071547056738325e+01 6.773591339137748080e-02 2.526714751446354902e-04 8.823587462375459151e-07 1.601313436195188056e-07
1.000000000000000000e+01 4.676115865999955901e+01 4.861773860470777753e-02 1.762005983052650595e-04 8.826066675193636181e-07 1.669269059625069332e-07
1.100000000000000000e+01 3.908655315447497713e+01 3.839622704400303538e-02 1.235993166891342606e-04 8.828745434156184533e-07 1.730336850622691060e-07
1.200000000000000000e+01 3.321611278752346408e+01 3.279209420750982262e-02 9.129492419733371768e-05 8.831610797127224515e-07 1.784578120395984481e-07
1.300000000000000000e+01 2.871905278935609118e+01 2.947879667918181651e-02 7.516891539488887311e-05 8.834649029714514384e-07 1.833604054211461666e-07
1.400000000000000000e+01 2.511971692953737900e+01 2.718095396413023473e-02 6.779101488634099542e-05 8.837845699686097507e-07 1.877250203416208697e-07
