# ells, tt, te, ee, bb, kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.070063312021873344e+03 2.760359817415146910e+00 3.255461838282701359e-02 0.000000000000000000e+00 7.895919230456280031e-08
3.000000000000000000e+00 5.066487150728132178e+02 1.547946884702877668e+00 2.093008862066501885e-02 0.000000000000000000e+00 9.601147142046072271e-08
4.000000000000000000e+00 2.877394149620100166e+02 8.714381881423858278e-01 1.092201999597180312e-02 0.000000000000000000e+00 1.105785127544743653e-07
5.000000000000000000e+00 1.836914399736859025e+02 4.949601926529202944e-01 4.878143810390367374e-03 0.000000000000000000e+00 1.232084236841032479e-07
6.000000000000000000e+00 1.272296833529739359e+02 2.850935381087174036e-01 1.954323152549465679e-03 0.000000000000000000e+00 1.342257479409763481e-07
7.000000000000000000e+00 9.364812390198648018e+01 1.681831794518132417e-01 7.909038577647648427e-04 0.000000000000000000e+00 1.439213536652499546e-07
8.000000000000000000e+00 7.189630834884965793e+01 1.031477283856715860e-01 3.941982283082497021e-04 0.000000000000000000e+00 1.524990757846162560e-07
9.000000000000000000e+00 5.719003940586805612e+01 6.773601094324145644e-02 2.517890972977519250e-04 0.000000000000000000e+00 1.601313436195188056e-07
1.000000000000000000e+01 4.676048737605584904e+01 4.861785748051691142e-02 1.753179633215177721e-04 0.000000000000000000e+00 1.669269059625069332e-07
1.100000000000000000e+01 3.908588704999758079e+01 3.839636912427986382e-02 1.227164017726125299e-04 0.000000000000000000e+00 1.730336850622691060e-07
1.200000000000000000e+01 3.321545223984888651e+01 3.279226130281238938e-02 9.041170739537838423e-05 0.000000000000000000e+00 1.784578120395984481e-07
1.300000000000000000e+01 2.871839815307545507e+01 2.947899052450530036e-02 7.428537567840220296e-05 0.000000000000000000e+00 1.833604054211461666e-07
1.400000000000000000e+01 2.511906853526269856e+01 2.718117621352466803e-02 6.690713223095855200e-05 0.000000000000000000e+00 1.877250203416208697e-07
